ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Regiao,Pais,Product ID,Categoria,SubCategoria,Total_Vendas,Quantidade,Desconto,Lucro,Prioridade
,,,,,,,,,,7,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,9,,,
,,,,,,,,,,5,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,13,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,12,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,14,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,2754.0,6,0.0,,
,,,,,,,,,,10,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,2,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,8,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,9,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,,,
,,,,,,,,,,12,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,13,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,13,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,11,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,2,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,13,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,4473.0,7,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,5049.0,11,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,1704.0,4,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,13,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,6,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,10,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,2301.0,5,0.0,,
,,,,,,,,,,14,,,
,,,,,,,,,,14,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,6,0.0,0.0,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,2,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,9,,,
,,,,,,,,,,7,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,4,,,
,,,,,,,,,2556.0,6,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,11,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,11,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,13,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,7,,,
,,,,,,,,,,4,,,
,,,,,,,,,,10,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,14,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,3834.0,6,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,8,,,
,,,,,,,,,,3,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,7,,,
,,,,,,,,,,12,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,3,,,
,,,,,,,,,,10,0.0,36.0,
,,,,,,,,,,2,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,13,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,9,,,
,,,,,,,,,,9,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,,,
,,,,,,,,,,5,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,11,,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,6,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,4,,,
,,,,,,,,,,7,,,
,,,,,,,,,,2,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,6,,,
,,,,,,,,,,4,0.0,0.0,
,,,,,,,,,,10,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,14,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,1521.0,4,0.0,0.0,
,,,,,,,,,,5,,,
,,,,,,,,,,6,,,
,,,,,,,,,,10,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,11,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,,,
,,,,,,,,,,6,,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,4,,,
,,,,,,,,,,6,,,
,,,,,,,,,,7,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,2,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,2058.0,4,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,8,,,
,,,,,,,,,,13,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,3,,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,5,0.0,106.0,
,,,,,,,,,1275.0,2,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,3,,,
,,,,,,,,,,5,,,
,,,,,,,,,,7,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,10,,,
,,,,,,,,,,7,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,12,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,8,,,
,,,,,,,,,,5,,,
,,,,,,,,,,3,,,
,,,,,,,,,,5,,,
,,,,,,,,,,8,,,
,,,,,,,,,,6,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,1278.0,3,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,2550.0,6,0.0,357.0,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,1,,,
,,,,,,,,,,3,,,
,,,,,,,,,,14,,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,6,,,
,,,,,,,,,,11,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,1278.0,3,0.0,,
,,,,,,,,,,4,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,,,
,,,,,,,,,,6,,,
,,,,,,,,,1512.0,6,0.0,,
,,,,,,,,,,2,,,
,,,,,,,,,2550.0,4,0.0,714.0,
,,,,,,,,,,6,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,9,,,
,,,,,,,,,,5,,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,2,0.0,,
,,,,,,,,,3080.0,7,0.0,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,5,,,
,,,,,,,,,,6,,,
,,,,,,,,,,7,0.0,,
,,,,,,,,,,9,0.0,,
,,,,,,,,,,6,0.0,,
,,,,,,,,,,5,0.0,,
,,,,,,,,,,3,0.0,,
,,,,,,,,,,7,,,
,,,,,,,,,,10,,,
,,,,,,,,,,8,0.0,,
,,,,,,,,,,14,,,
,,,,,,,,,,8,,,
,,,,,,,,,,3,,,
,,,,,,,,,,4,0.0,,
